,SITECODE,date,Bare Ground,Built Area,Crops,Flooded Vegetation,Grass,Shrub and Scrub,Snow and Ice,Trees,Water
0,AT1301000,2015-07-01,0.0047310863059744,0.3069666294654677,9.74093255962254,0.434058842990716,3.7508119688884114,1.1019404359552607,0.0,79.6472609724033,4.151655089341482
1,AT1301000,2015-10-01,0.3699295342605618,0.0,0.0,0.0,0.0,0.0,0.0325379245082185,0.0,0.0
2,AT1301000,2016-01-01,1.024918685271896,0.5991892378276226,9.4201691945612,0.7249549035172992,6.985423617949797,1.552991231896077,0.0,71.9353559700389,6.637315129826453
3,AT1301000,2016-04-01,0.3341182301984684,0.1998060385853477,8.96154075953519,0.2169829410687009,5.762732422194055,0.7932342841182848,0.0,78.10125129029541,5.523506358802983
4,AT1301000,2016-07-01,0.0100458568169771,0.1706944627952827,7.76370824610848,0.1564801368704648,6.612075257621301,0.1717220269616751,0.0,79.42814458436715,4.506132261461517
5,AT1301000,2016-10-01,4.685571208865742,0.2311673327145477,3.1004223946920333,0.0369428188655233,6.428426682355941,3.2500316114291916,0.0,76.25651104307225,6.005810811224474
6,AT1301000,2017-01-01,1.0001051082936518,10.97904451221059,12.915510783210705,0.7042688917406108,0.93791848763821,2.9073964907404535,3.1689975609451206,8.578620912012097,2.664749117359473
7,AT1301000,2017-04-01,0.0047310821842558,0.337774087668177,9.44420849286456,0.3744107665390302,7.960492319935764,0.4009293661847028,0.0,74.4218842991439,5.643224520500281
8,AT1301000,2017-07-01,0.4213306430161472,0.3089029572845573,7.933081443033208,0.2003503343898037,6.155513137893838,0.7128349227542347,0.0,78.62133257368768,4.625488103507641
9,AT1301000,2017-10-01,1.5398289197282342,0.9047606542840372,5.110879740266628,2.0919218791780874,6.455520218166832,1.3865760775881597,0.0,69.74180384747771,5.007830171308022
10,AT1301000,2018-01-01,0.659321016160585,0.6335153468961857,4.925446113532649,5.301076853310496,5.30531385113842,2.045017481120768,0.0,68.75835802794884,6.179558627852412
11,AT1301000,2018-04-01,0.0183160747985492,0.3170962225143904,9.740920277271304,0.2668489686023915,6.692182374095937,0.4458866547580433,0.0,76.26392198011482,5.473285912399124
12,AT1301000,2018-07-01,0.5108390491205524,0.2928739354615788,7.615299349684205,0.1780305079713874,5.747466049838336,1.449347640431591,0.0,78.78376523243756,4.518197578969944
13,AT1301000,2018-10-01,0.7578692655321514,0.2108695746705532,6.670851044554234,0.2210829962575144,7.133436740319511,2.326160457643045,0.0,77.21119735359464,4.439620661432226
14,AT1301000,2019-01-01,2.461303510322776,0.5938962112390158,8.684715594661819,0.9170008047351664,7.07302361101188,2.539055778701021,0.0,68.58391104642433,6.637028372288316
15,AT1301000,2019-04-01,0.0,0.2415077502317819,9.44339866179577,0.4253779891917162,6.751861042327226,0.4934249467293403,0.0,75.77978608715014,5.5178456354859895
16,AT1301000,2019-07-01,0.0718202272301523,0.2419042925832993,8.065654975200399,0.2739716636007901,5.4875296010779415,0.7597633210736002,0.0,80.3058743508987,4.348295239031804
17,AT1301000,2019-10-01,0.8305269845848049,0.2626173941462296,8.682295788157486,2.4397221365502313,7.055221711475824,0.9898640617394688,0.0,65.76130640362842,4.1836421120009835
18,AT1301000,2020-01-01,5.169159877008963,0.4160396272537303,5.682465686871271,0.2756109734446678,6.795714912611752,2.050648015718654,0.0,72.21443637258984,5.916594719516018
19,AT1301000,2020-04-01,0.0230496192028947,0.4139286894298818,10.75428183436498,0.4526359144176829,7.229223084920688,1.9031649217443367,0.0,72.27595921798115,6.166617082246746
20,AT1301000,2020-07-01,0.6082505822463644,0.215484410473938,7.183832293645759,0.0798585048368517,6.443545961629317,0.5124219873084453,0.0,79.92601300890615,4.620931222430075
21,AT1301000,2020-10-01,0.5279883853662057,0.2648789753569317,5.536736066637628,0.5116949158006282,6.2504672315091145,0.4350563463066647,0.0,80.26131071950388,5.02118285200386
22,AT1301000,2021-01-01,2.3988155246062774,1.09504375216018,9.598037662706576,4.416333601820059,6.636504215171082,1.8508870274186728,0.0,61.20046228142131,5.883753807302317
23,AT1301000,2021-04-01,0.0,0.3138198341631794,9.84505197578139,0.6733796687603925,5.119332081982462,0.391961543012162,0.0,77.50935922735398,5.101013970473833
24,AT1301000,2021-07-01,0.0514204704877293,0.2240933151340144,8.049944726744297,0.4557036855454098,5.515720166823591,0.5834938496820481,0.0,79.76634542289864,4.632809302060079
25,AT1301000,2021-10-01,0.8263814118320106,0.1934913795133554,6.720025874511007,0.1269938294273595,7.271866943389152,0.4865306942335112,0.0,78.39983735306024,4.7460714477660755
26,AT1301000,2022-01-01,0.5625616185942617,0.5874069700952219,9.023658375272143,0.8337762918595708,6.8074970178315874,0.913116632103722,0.0,73.83471171156737,6.065119671879615
27,AT1301000,2022-04-01,0.0,0.3042961651765072,9.655970951773424,0.2575778439286962,6.741167493820677,0.5080982361815677,0.0,76.77052515939181,5.272528235751627
28,AT1301000,2022-07-01,0.1924453309849571,0.2860584474338006,9.575121096011268,0.2412586398056338,4.025433739727257,1.6772354521813495,0.0,79.14868217161359,4.432989032258891
29,AT1301000,2022-10-01,0.5864502341441901,0.3361054340441174,7.097144457343488,1.0499892906817283,6.024000314638905,1.0818963655440663,0.0,75.9405631628728,4.356474593677744
30,AT1301000,2023-01-01,7.027510729560542,7.710712350234671,14.35162319950048,6.970115147538869,4.3295839571643455,5.26381896887863,0.0118207819869435,38.76689629912593,6.132394505625599
